regime,loss_aversion,final_polarization,final_extremes,final_mean_belief,belief_drift,final_assortativity
mixed,1.0,0.3521598325670773,0.0,0.21209493393321655,0.1035356839693195,0.04412631552115827
mixed,1.5,0.2404437301093421,0.0,0.2404851200728663,0.3313656081803632,0.08749085872934724
mixed,2.0,0.30582027952480323,0.0,0.22362637876093727,0.14067886479381322,0.11820137920756116
mixed,2.5,0.31681391133737846,0.0,0.23321603402455296,0.13516200348610416,0.09185304294330751
mixed,3.0,0.31836942362389553,0.0,0.23183053363179915,0.13484589969410818,0.09185304294330751
echo,1.0,0.36156759178239134,0.02,0.19932383063089254,0.06873843117371062,0.12005908328589233
echo,1.5,0.36797680591827214,0.02,0.20734820244995034,0.07254844122668813,0.13523715231583186
echo,2.0,0.3691967911864629,0.02,0.20780338995260209,0.07265207049989743,0.13523715231583186
echo,2.5,0.36918081416173876,0.02,0.20724775130917933,0.07272334573612088,0.13523715231583186
echo,3.0,0.36939689704839895,0.02,0.20796079279394963,0.07247020682069787,0.13523715231583186
curated,1.0,0.3612533150801673,0.0,0.20543127299379133,0.09199816264679461,0.01747331752149422
curated,1.5,0.3617483939955853,0.0,0.21564056422030053,0.08916505684121712,0.01747331752149422
curated,2.0,0.35979671459522977,0.0,0.2154738595220345,0.08922151963603552,0.01747331752149422
curated,2.5,0.35918125870260964,0.0,0.21624162700232957,0.08920791124571079,0.01747331752149422
curated,3.0,0.35913462321873296,0.0,0.21710737667366145,0.08913819106781316,0.01747331752149422
