regime,loss_aversion,final_polarization,final_extremes,final_mean_belief,belief_drift,final_assortativity
mixed,1.0,0.43819571783653705,0.0,-0.03360896686211025,0.10092527713342983,0.06307902763767204
mixed,1.5,0.43865834862096725,0.0,-0.031736325406022454,0.10065725659693146,0.06307902763767204
mixed,2.0,0.43962558171692206,0.0,-0.03313349015594539,0.10071531213517933,0.06307902763767204
mixed,2.5,0.43910739717805364,0.0,-0.03236809395862978,0.10058763100864714,0.06307902763767204
mixed,3.0,0.43953317674534065,0.0,-0.03200640339510055,0.1004661357423635,0.06307902763767204
echo,1.0,0.4330270945846166,0.02,-0.036720876298442284,0.0725803928965168,0.07022779875746131
echo,1.5,0.43409837026876863,0.02,-0.03813726403039721,0.07264041961069519,0.07022779875746131
echo,2.0,0.43197285952649894,0.02,-0.0406099485033981,0.07297382862590857,0.07022779875746131
echo,2.5,0.4340195854503706,0.02,-0.03960807736061613,0.07269827932905583,0.07022779875746131
echo,3.0,0.4358223264716855,0.02,-0.03868617466329994,0.07249988590946183,0.07022779875746131
curated,1.0,0.4354031843427177,0.0,-0.03784967063931676,0.10456823824276984,0.017062536682357736
curated,1.5,0.43477319203357795,0.0,-0.03838975306111586,0.10434385226710928,0.017062536682357736
curated,2.0,0.4368815878160388,0.0,-0.03652691120715992,0.10430313196786113,0.017062536682357736
curated,2.5,0.43538977660350847,0.0,-0.03738571996920387,0.10423321177193585,0.017062536682357736
curated,3.0,0.4361790789989366,0.0,-0.036794679133329344,0.10422179216688299,0.017062536682357736
