regime,final_polarization,final_extremes,belief_drift,reference_crossing_rate
mixed,0.43962558171692206,0.0,0.10071531213517933,0.0
echo,0.43197285952649894,0.02,0.07297382862590857,0.0
curated,0.4368815878160388,0.0,0.10430313196786113,0.0
