regime,loss_aversion,final_polarization,final_extremes,final_mean_belief,belief_drift,final_assortativity
mixed,1.0,0.3849286929836618,0.0,0.10245213106203309,0.20765805160771628,0.038182346109175536
mixed,1.5,0.3904536145948045,0.0,0.11088214953844204,0.20684669678092937,0.038182346109175536
mixed,2.0,0.3942916857260668,0.0,0.11581883305561325,0.20637727896452354,0.038182346109175536
mixed,2.5,0.397447805330016,0.0,0.11959545785234782,0.20603438361936874,0.038182346109175536
mixed,3.0,0.39396999502322155,0.0,0.11597852571870124,0.20618280997037122,0.038182346109175536
echo,1.0,0.4111388575990388,0.01,0.12014632567901305,0.15218445174822617,0.047180170993803554
echo,1.5,0.40992106617273927,0.01,0.11841103106029888,0.15218068463886825,0.047180170993803554
echo,2.0,0.4101984063492429,0.01,0.11830555883317921,0.15223522399332695,0.047180170993803554
echo,2.5,0.40886737877839957,0.01,0.11653922064605744,0.1522524413670447,0.047180170993803554
echo,3.0,0.40838665186409656,0.01,0.11578255593689057,0.1522845418541122,0.047180170993803554
curated,1.0,0.3926982734114728,0.0,0.1220585058699856,0.20923922069336245,0.025184346326585852
curated,1.5,0.38899358827596486,0.0,0.1194846845521679,0.2093623762528279,0.025184346326585852
curated,2.0,0.39427280978745555,0.0,0.1223460017269267,0.20899605832049134,0.025184346326585852
curated,2.5,0.39575746060102945,0.0,0.12799363121725665,0.20865566797796814,0.025184346326585852
curated,3.0,0.38996171701111715,0.0,0.12073070483791774,0.20914398055793326,0.025184346326585852
