regime,final_polarization,final_extremes,belief_drift,reference_crossing_rate
mixed,0.4119177812607995,0.0,0.2014100811411692,0.0
echo,0.4028691745092045,0.02,0.19471627568190364,0.0
curated,0.4100774731809145,0.0,0.2105968532545959,0.0
