regime,loss_aversion,final_polarization,final_extremes,final_mean_belief,belief_drift,final_assortativity
mixed,1.0,0.4125969948394735,0.0,0.1547568946516097,0.2023143312440523,-0.06086607680135493
mixed,1.5,0.40938292982168734,0.0,0.1528071617630044,0.20226108734861764,-0.06086607680135493
mixed,2.0,0.4119177812607995,0.0,0.1575736263451404,0.2014100811411692,-0.06086607680135493
mixed,2.5,0.41175830248586803,0.0,0.15806866174389292,0.20115005722923524,-0.06086607680135493
mixed,3.0,0.4123857567651171,0.0,0.15914328042518244,0.20082479458654498,-0.06086607680135493
echo,1.0,0.3961357194985392,0.02,0.14450346634539302,0.19589388362152804,0.015856036163494767
echo,1.5,0.3985955052527437,0.02,0.14552359933587097,0.19573349680825808,0.015856036163494767
echo,2.0,0.4028691745092045,0.02,0.1507323852410271,0.19471627568190364,0.015856036163494767
echo,2.5,0.40168669115879324,0.02,0.14948124171736774,0.19485742390549615,0.015856036163494767
echo,3.0,0.40091627674357505,0.02,0.14835190005468324,0.19492236588414089,0.015856036163494767
curated,1.0,0.4133309673134126,0.0,0.16850649578447535,0.21047704642208107,0.01624806201550393
curated,1.5,0.4206614331356783,0.0,0.17412573965171474,0.20943627441295995,0.01624806201550393
curated,2.0,0.4100774731809145,0.0,0.16617942886343948,0.2105968532545959,0.01624806201550393
curated,2.5,0.4127943711001668,0.0,0.16793599661409078,0.21025710165863337,0.01624806201550393
curated,3.0,0.4157269571906453,0.0,0.17354837191271433,0.20960621709994853,0.01624806201550393
