regime,step,mean_belief,polarization_var,share_extremes,assortativity,belief_drift
mixed,0,0.06007569293239838,0.5082926411900566,0.12,-0.023991422061385836,0.0
mixed,1,0.05990864202619044,0.5007929107073065,0.06,-0.019330573705224258,0.02147603763458654
mixed,2,0.05932445956847948,0.4970162090174408,0.02,-0.016334758084096013,0.036874596977054475
mixed,3,0.0579745531453748,0.4923082658581334,0.02,-0.009562159774684012,0.05028797685904159
mixed,4,0.056291712593149024,0.4896620240604235,0.01,-0.0017421602787455331,0.06032086564404675
mixed,5,0.055391729998156745,0.4882690541939737,0.0,0.009985340732493377,0.06727653916752568
mixed,6,0.05538748185719769,0.4871419681742001,0.0,0.008178023028302997,0.07317174580477998
mixed,7,0.05518165456949562,0.4861513828638044,0.0,0.017139192094354716,0.07673889101120199
mixed,8,0.054670602025625466,0.48551437192606106,0.0,0.03187457331858089,0.08127525296910947
mixed,9,0.05459593867982785,0.4849362360661662,0.0,0.054297852528662004,0.08473135854463773
mixed,10,0.054189125254342906,0.48355420794083154,0.0,0.059515910336670176,0.0868266366228626
mixed,11,0.05455759104951998,0.483173505035403,0.0,0.059515910336670176,0.08948634347851599
mixed,12,0.054774343901184824,0.4829750359517721,0.0,0.059515910336670176,0.09099695784798699
mixed,13,0.054482072243449337,0.48231066190126676,0.0,0.059515910336670176,0.09183475783697866
mixed,14,0.05526676001878766,0.4821762642038934,0.0,0.059515910336670176,0.0939142218365204
mixed,15,0.05567627804335447,0.4818319326875725,0.0,0.05840217202934554,0.09527075775953829
mixed,16,0.05525261511073162,0.4807096735162258,0.0,0.059515910336670176,0.09568465623736923
mixed,17,0.053678805024887664,0.48015902748068373,0.0,0.04163310422680953,0.0947439439951106
mixed,18,0.053754732644828475,0.48046334723603595,0.0,0.047624595167641386,0.09526998721917607
mixed,19,0.05464113704246319,0.4805297316345649,0.0,0.047624595167641386,0.09650393329171139
mixed,20,0.05484310817296056,0.4805772015388861,0.0,0.041069295980138885,0.09756130680381764
mixed,21,0.05494127094634876,0.4799095046900292,0.0,0.041069295980138885,0.09873793503836191
mixed,22,0.05583706574812755,0.47974494407396967,0.0,0.041069295980138885,0.1001311181336238
mixed,23,0.05564001916314157,0.47954927817048393,0.0,0.03635567236092856,0.10149416134772235
mixed,24,0.05524896800508337,0.4785352552480695,0.0,0.03741218946302812,0.10273773555776136
mixed,25,0.056004684944572725,0.47862947387024024,0.0,0.04157808524727284,0.10369615916472621
mixed,26,0.055399422650479827,0.4776790946880556,0.0,0.04738670291244089,0.10547245208917369
mixed,27,0.054728818662898956,0.47680657603894183,0.0,0.05100625066703582,0.10667581373772939
mixed,28,0.05431520104670476,0.47610508381255956,0.0,0.044482394079856866,0.10788906814752115
mixed,29,0.05422176369843301,0.47584651393009736,0.0,0.05168602080472878,0.10860844413549633
mixed,30,0.05424674102406548,0.4757330093610356,0.0,0.05464004392107122,0.10928289629580303
mixed,31,0.05421832526937024,0.47551189632191837,0.0,0.04214559386973181,0.10968115655961067
mixed,32,0.05427055369977889,0.4754196853040628,0.0,0.06378969635381646,0.10972319645300849
mixed,33,0.05420110028763304,0.4751844462801113,0.0,0.07599704319053817,0.11028656374116631
mixed,34,0.05411586113300992,0.47508833099921555,0.0,0.07599704319053817,0.11061423335730847
mixed,35,0.05415347300978229,0.47507627850233175,0.0,0.07599704319053817,0.11091032186761064
mixed,36,0.05435833373826307,0.4753819322242351,0.0,0.07599704319053817,0.1110066301539595
mixed,37,0.05433158714589632,0.4752751020284838,0.0,0.07599704319053817,0.11121312162281448
mixed,38,0.05425155142671728,0.47512426562801763,0.0,0.059938554974318846,0.11140223259125424
mixed,39,0.054269441287865414,0.47501349680886146,0.0,0.059938554974318846,0.11165187947361285
mixed,40,0.0543823349158237,0.47502831936601786,0.0,0.059938554974318846,0.11174629507710471
mixed,41,0.05449277459243961,0.4750944363588055,0.0,0.04667971736152124,0.1117726382007296
mixed,42,0.05460734854462213,0.4751740526423001,0.0,0.04667971736152124,0.11195829641198345
mixed,43,0.05472584124077054,0.4753919354238124,0.0,0.034722413745552766,0.11212369773879953
mixed,44,0.05466902714332613,0.4753098416786088,0.0,0.0395423737543592,0.1122406106761658
mixed,45,0.05465343243471782,0.47518532558599186,0.0,0.034722413745552766,0.11235067021834434
mixed,46,0.054808375549104324,0.4753853792963383,0.0,0.019884557288678117,0.11224612669105279
mixed,47,0.054724554494515146,0.47524975922778345,0.0,0.016078036919008172,0.11234084285994385
mixed,48,0.05480778228584172,0.47525773088815076,0.0,0.0016840601158430136,0.11239051482026723
mixed,49,0.05486988146575946,0.475259032220218,0.0,0.0016840601158430136,0.11258214783297633
mixed,50,0.0549868991844347,0.47527065953715897,0.0,-0.012411045437269877,0.11261173063425815
mixed,51,0.0549712270802815,0.4752640673367204,0.0,-0.012411045437269877,0.11270370106534934
mixed,52,0.05495500463746925,0.4753213361399113,0.0,-0.01781686735580654,0.11278078876782902
mixed,53,0.05487705242593762,0.47551279531104645,0.0,-0.01781686735580654,0.11285494775606139
mixed,54,0.05487604058878379,0.47566362649525773,0.0,-0.01781686735580654,0.11287278579777528
mixed,55,0.05477967872905575,0.4757558882724247,0.0,-0.01781686735580654,0.11292342621276415
mixed,56,0.05474936079402671,0.47572653808882137,0.0,-0.01781686735580654,0.11301932047255271
mixed,57,0.05483499746547518,0.4757138010811552,0.0,-0.01781686735580654,0.11305024683154416
mixed,58,0.05490103883969237,0.47575798405780567,0.0,-0.01781686735580654,0.1130875835876939
mixed,59,0.05497674102641903,0.47583551359497184,0.0,-0.01781686735580654,0.11313122506328999
mixed,60,0.0549623955558711,0.4758402746806453,0.0,-0.01781686735580654,0.11317460565457138
mixed,61,0.05505699227165309,0.47587614268916645,0.0,-0.01781686735580654,0.11315035963614829
mixed,62,0.05511104616046909,0.4758323343721926,0.0,-0.01781686735580654,0.11320260530238489
mixed,63,0.055066580900907776,0.47593917175631745,0.0,-0.01781686735580654,0.11327455556474046
mixed,64,0.05508469774754099,0.47594051216433775,0.0,-0.01781686735580654,0.1132734304823428
mixed,65,0.05513775540004731,0.4759910825374285,0.0,-0.01781686735580654,0.11325980221765018
mixed,66,0.05518368142699128,0.4759819211240309,0.0,-0.01781686735580654,0.11317122384874331
mixed,67,0.05515083089787368,0.4759873446969042,0.0,-0.01781686735580654,0.11319863375641727
mixed,68,0.05522745759351093,0.4760070497578875,0.0,-0.01781686735580654,0.113255908233306
mixed,69,0.05526171525518874,0.47605917311122964,0.0,-0.01781686735580654,0.11328326554406401
mixed,70,0.055287848629761334,0.47605363061067135,0.0,-0.01781686735580654,0.11332943217166436
mixed,71,0.05526662364218676,0.4761128860365526,0.0,-0.01781686735580654,0.11332343576026407
mixed,72,0.055290542780125025,0.4760740824032081,0.0,-0.01781686735580654,0.11337436762787996
mixed,73,0.0552711148632302,0.4761210144901203,0.0,-0.01781686735580654,0.11340045737069321
mixed,74,0.055274521499775915,0.47604550520722555,0.0,-0.01781686735580654,0.11336274682111029
mixed,75,0.055293652450730015,0.47606971337253673,0.0,-0.01781686735580654,0.11334531655030398
mixed,76,0.05533213948438446,0.476077420889324,0.0,-0.01781686735580654,0.11333957846217574
mixed,77,0.055310301890760895,0.47608915592359835,0.0,-0.01781686735580654,0.1133948135830604
mixed,78,0.055374540317340334,0.47602095708414965,0.0,-0.01781686735580654,0.1134696451141135
mixed,79,0.05535290504140684,0.4761379425132376,0.0,-0.01781686735580654,0.11345682762148394
mixed,80,0.055406715067484465,0.47600007347986284,0.0,-0.01781686735580654,0.11344169299224341
mixed,81,0.055463434047102605,0.4759950352332414,0.0,-0.01781686735580654,0.11342981043014505
mixed,82,0.055491231201724875,0.475945652230474,0.0,-0.01781686735580654,0.11343183815632116
mixed,83,0.05553094210710718,0.47591568987375255,0.0,-0.01781686735580654,0.11340256912504289
mixed,84,0.05554032612817368,0.47591291238873756,0.0,-0.01781686735580654,0.11344903975992793
mixed,85,0.05553820306997832,0.47593005725445864,0.0,-0.01781686735580654,0.11344901048866339
mixed,86,0.05549582660058748,0.47596772124136427,0.0,-0.01781686735580654,0.11347097698830368
mixed,87,0.05550843250630137,0.47591561503053165,0.0,-0.01781686735580654,0.11348111918162855
mixed,88,0.05551009968088228,0.4759148408257793,0.0,-0.01781686735580654,0.11347902327084021
mixed,89,0.05553673320699658,0.475897349276269,0.0,-0.01781686735580654,0.1134562909776785
mixed,90,0.05553888914456244,0.4757893411586357,0.0,-0.01781686735580654,0.11346850615927152
mixed,91,0.05554825686217188,0.4757877310993149,0.0,-0.01781686735580654,0.11345856168160616
mixed,92,0.055525724421927755,0.4758566587456929,0.0,-0.01781686735580654,0.1134824973973179
mixed,93,0.05555411158094976,0.4758711064185997,0.0,-0.01781686735580654,0.11350840478666839
mixed,94,0.055567003372726104,0.4758577892098642,0.0,-0.01781686735580654,0.11351620998241102
mixed,95,0.055626033711607764,0.47586053263164496,0.0,-0.01781686735580654,0.1135221530844494
mixed,96,0.055627972543030556,0.4758566686127533,0.0,-0.01781686735580654,0.1134953280408802
mixed,97,0.05563989341073882,0.4757612740741289,0.0,-0.01781686735580654,0.11343261698918469
mixed,98,0.05567927739499352,0.4756828585035361,0.0,-0.01781686735580654,0.11342693785060268
mixed,99,0.05568853651976985,0.4757390857287794,0.0,-0.01781686735580654,0.11341527855580541
mixed,100,0.05563711258580942,0.4758285401021892,0.0,-0.01781686735580654,0.1134590201707582
mixed,101,0.0556464817046235,0.4758181991343003,0.0,-0.01781686735580654,0.11348237060310681
mixed,102,0.05568059261675181,0.4758889955966221,0.0,-0.01781686735580654,0.11346943406092275
mixed,103,0.055662986899446036,0.4759621529886975,0.0,-0.01781686735580654,0.1134566642038806
mixed,104,0.055654143042320366,0.4759652221920146,0.0,-0.01781686735580654,0.11347124434917237
mixed,105,0.05565454676804633,0.4759733701114264,0.0,-0.01781686735580654,0.11351231222757796
mixed,106,0.055608451101955184,0.47607629835853194,0.0,-0.01781686735580654,0.11350899838046534
mixed,107,0.05561640758490968,0.4761339273153894,0.0,-0.01781686735580654,0.11348412976744857
mixed,108,0.05563841421842323,0.47618207488305364,0.0,-0.01781686735580654,0.1135107558992775
mixed,109,0.05569414431986033,0.4760870009700454,0.0,-0.01781686735580654,0.11351892882014379
mixed,110,0.05569251657611647,0.47615791981575356,0.0,-0.01781686735580654,0.11348222724998988
mixed,111,0.05571582510523872,0.47626775676339206,0.0,-0.01781686735580654,0.11347751969548169
mixed,112,0.05570144076609378,0.4762769347224252,0.0,-0.01781686735580654,0.11348394040154128
mixed,113,0.05572165294046853,0.47628286571707973,0.0,-0.01781686735580654,0.11350520992482041
mixed,114,0.05573376824458077,0.4762480361538392,0.0,-0.01781686735580654,0.11349295528918096
mixed,115,0.055729624942475395,0.47628295953120287,0.0,-0.01781686735580654,0.1134916555553971
mixed,116,0.05575976933597276,0.4762801794749999,0.0,-0.01781686735580654,0.11347125758665155
mixed,117,0.05577629267082847,0.47622444211830356,0.0,-0.01781686735580654,0.11348344103264049
mixed,118,0.055751201158350264,0.47633914776929026,0.0,-0.01781686735580654,0.11350013456094475
mixed,119,0.05573460381636486,0.4763838168182282,0.0,-0.01781686735580654,0.11351674974414593
mixed,120,0.055734167847368246,0.47638505416425375,0.0,-0.01781686735580654,0.11352740362563023
mixed,121,0.055678272735580625,0.47643784141477263,0.0,-0.01781686735580654,0.11352091477593229
mixed,122,0.055705401873008924,0.4765100286244382,0.0,-0.01781686735580654,0.11352368507248163
mixed,123,0.05568545134053513,0.47658790448404953,0.0,-0.01781686735580654,0.11350922005444226
mixed,124,0.05566374544732998,0.4765851183548374,0.0,-0.01781686735580654,0.1135598844518092
mixed,125,0.05567309430637207,0.4766076139896066,0.0,-0.01781686735580654,0.1135605712803812
mixed,126,0.05564855653124104,0.4765984746904796,0.0,-0.01781686735580654,0.11354541584755738
mixed,127,0.055628296269395514,0.47665223600261747,0.0,-0.01781686735580654,0.11353433280868104
mixed,128,0.05563351037724813,0.4766874843269542,0.0,-0.01781686735580654,0.11355228284202214
mixed,129,0.055669097040770915,0.47660968414246957,0.0,-0.01781686735580654,0.11355692994893564
mixed,130,0.05565636019488571,0.47664689827819834,0.0,-0.01781686735580654,0.1136049979883587
mixed,131,0.055652126942472784,0.47671958900904454,0.0,-0.01781686735580654,0.11361774937364834
mixed,132,0.05564669089119837,0.4767396897036534,0.0,-0.01781686735580654,0.11365352318556277
mixed,133,0.05568138816799556,0.4767690777059729,0.0,-0.01781686735580654,0.11361476877792606
mixed,134,0.05568301705130534,0.47682463865600744,0.0,-0.01781686735580654,0.1136298603570876
mixed,135,0.05570956574788779,0.47683446714685374,0.0,-0.01781686735580654,0.11362942966045445
mixed,136,0.05568463855857958,0.4767997814587291,0.0,-0.01781686735580654,0.11367781882642024
mixed,137,0.05570625785438723,0.4767830579128799,0.0,-0.01781686735580654,0.113684596346324
mixed,138,0.05571261266855534,0.4767490303229511,0.0,-0.01781686735580654,0.11363450300606512
mixed,139,0.05568988909365321,0.47677855304362887,0.0,-0.01781686735580654,0.11365926547886485
mixed,140,0.055704165861243285,0.47675080545566323,0.0,-0.01781686735580654,0.11368567653180783
mixed,141,0.05571859747732307,0.4767829507612217,0.0,-0.01781686735580654,0.11370927814835309
mixed,142,0.055755884513483144,0.4767500729794033,0.0,-0.01781686735580654,0.11368587782014464
mixed,143,0.05576253541725871,0.4767160930796743,0.0,-0.01781686735580654,0.11370061252661595
mixed,144,0.055756111977297226,0.47673541931907887,0.0,-0.01781686735580654,0.11372119023021902
mixed,145,0.05577564768051497,0.4767021364381046,0.0,-0.01781686735580654,0.11371038315043293
mixed,146,0.055782243447165286,0.476738721479647,0.0,-0.01781686735580654,0.11370131046615654
mixed,147,0.05579117467281798,0.4767780683320998,0.0,-0.01781686735580654,0.11369237924050384
mixed,148,0.0557548420487763,0.4767715619263583,0.0,-0.01781686735580654,0.11372871186454551
mixed,149,0.05577330709173982,0.4767389167521301,0.0,-0.01781686735580654,0.11373798477872478
mixed,150,0.055773011090989776,0.47674756291547427,0.0,-0.01781686735580654,0.11372739774296603
mixed,151,0.05573545639866327,0.4768022837644792,0.0,-0.01781686735580654,0.11372830494728292
mixed,152,0.05573576985926409,0.4768012302854292,0.0,-0.01781686735580654,0.11373681339486565
mixed,153,0.05571795569766087,0.4768277060064203,0.0,-0.01781686735580654,0.11373476603002068
mixed,154,0.05573990131614717,0.47671178287847205,0.0,-0.01781686735580654,0.11373821399895759
mixed,155,0.0557797119025077,0.4767453674184234,0.0,-0.01781686735580654,0.1136675569703333
mixed,156,0.05575611050366947,0.47678098962563104,0.0,-0.01781686735580654,0.11368543114118547
mixed,157,0.05572364454728616,0.4767974166689853,0.0,-0.01781686735580654,0.11367494391831055
mixed,158,0.05571159323592138,0.4768392127322425,0.0,-0.01781686735580654,0.1137270422965123
mixed,159,0.05568563477643263,0.4768126285542372,0.0,-0.01781686735580654,0.113711468797802
mixed,160,0.05568519203009914,0.47686528143932,0.0,-0.01781686735580654,0.11370398101155789
mixed,161,0.05572710910745255,0.47689882832275915,0.0,-0.01781686735580654,0.11373357274156509
mixed,162,0.055688697941827424,0.47695059105218557,0.0,-0.01781686735580654,0.11371045268565451
mixed,163,0.05567418847590586,0.4769624346861266,0.0,-0.01781686735580654,0.11374801493556219
mixed,164,0.05569276221086141,0.4769604310873604,0.0,-0.01781686735580654,0.11377911379418405
mixed,165,0.055763681087891565,0.47690139633377693,0.0,-0.01781686735580654,0.11374605743866345
mixed,166,0.05574891089361918,0.476937685478153,0.0,-0.01781686735580654,0.11376955745524364
mixed,167,0.05575027294053532,0.4769752812414616,0.0,-0.01781686735580654,0.113778841373867
mixed,168,0.055718416358946435,0.47699107349426817,0.0,-0.01781686735580654,0.11381069795545588
mixed,169,0.055682707191464634,0.47700603913198314,0.0,-0.01781686735580654,0.11379201097124725
mixed,170,0.05566337022448384,0.4770846948355248,0.0,-0.01781686735580654,0.11377266873767745
mixed,171,0.055647380051610226,0.47711470245834503,0.0,-0.01781686735580654,0.11377525257822782
mixed,172,0.05564572185882507,0.47714457317935854,0.0,-0.01781686735580654,0.113776910771013
mixed,173,0.05565935734457923,0.4771358257426229,0.0,-0.01781686735580654,0.1137917678148629
mixed,174,0.05565800080529744,0.47714361705221714,0.0,-0.01781686735580654,0.1138028640002116
mixed,175,0.05566760107012612,0.47712762113975915,0.0,-0.01781686735580654,0.11376855251224803
mixed,176,0.05566245022817189,0.47712080246035493,0.0,-0.01781686735580654,0.11379465929431973
mixed,177,0.05569212233796077,0.4770483109872909,0.0,-0.01781686735580654,0.11378862802450339
mixed,178,0.055714768629903724,0.47706021780128993,0.0,-0.01781686735580654,0.11380292110106793
mixed,179,0.05572393663608635,0.4770577756111775,0.0,-0.01781686735580654,0.11381208910725057
mixed,180,0.05573486397297603,0.4770130809567201,0.0,-0.01781686735580654,0.11383687272787078
mixed,181,0.055741311347842014,0.4770021518248664,0.0,-0.01781686735580654,0.11382199212740496
mixed,182,0.055731627264523166,0.47703960387375505,0.0,-0.01781686735580654,0.11383167621072379
mixed,183,0.055736761024785725,0.4770450840576848,0.0,-0.01781686735580654,0.11380682929339242
mixed,184,0.0557529522853406,0.4770172758353177,0.0,-0.01781686735580654,0.1138230205539473
mixed,185,0.05574653355770895,0.47702473765467374,0.0,-0.01781686735580654,0.11380896697789206
mixed,186,0.055741024045840956,0.47704775562781243,0.0,-0.01781686735580654,0.11382365987206386
mixed,187,0.055737656254818385,0.4770346493485878,0.0,-0.01781686735580654,0.11382098595521349
mixed,188,0.055755566820149836,0.47700382762028637,0.0,-0.01781686735580654,0.11382581550720015
mixed,189,0.055773844588812294,0.4770421680783701,0.0,-0.01781686735580654,0.11382114722702967
mixed,190,0.05576581422406608,0.4770133572877915,0.0,-0.01781686735580654,0.11383404421960114
mixed,191,0.05574602758256976,0.47700668481749775,0.0,-0.01781686735580654,0.11385383086109746
mixed,192,0.055761213182884184,0.47702620740077406,0.0,-0.01781686735580654,0.11383864526078304
