regime,loss_aversion,final_polarization,final_extremes,final_mean_belief,belief_drift,final_assortativity
mixed,1.0,0.4878640706501877,0.0,0.05163269850841299,0.10040383801033824,-0.02656313853698413
mixed,1.5,0.4853709134232297,0.0,0.058302453694113104,0.10656183745294946,-0.025603457748800414
mixed,2.0,0.4775403073040034,0.0,0.05562120622568964,0.11394926815796874,-0.01781686735580654
mixed,2.5,0.48098581483156605,0.0,0.05532984142797276,0.10618251134507517,-0.01849547980426307
mixed,3.0,0.48291220774463794,0.0,0.05707131336815044,0.10561152714767667,-0.01849547980426307
echo,1.0,0.5001698493252649,0.01,0.06506376893465739,0.07583133119584373,0.07717723333956736
echo,1.5,0.5000281202550787,0.01,0.06448552037316807,0.07566955199629342,0.07717723333956736
echo,2.0,0.4990174274716923,0.01,0.06465293043151689,0.07577777781602485,0.07717723333956736
echo,2.5,0.49940232296871145,0.01,0.06519910153144559,0.07570614695601824,0.07717723333956736
echo,3.0,0.4993959610535829,0.01,0.06542495460797451,0.07574835506832021,0.07717723333956736
curated,1.0,0.49108624477518326,0.0,0.06576051733334953,0.10254821815844316,-0.04694275802254989
curated,1.5,0.488014478901272,0.0,0.0664373783902424,0.10292833847446582,-0.04694275802254989
curated,2.0,0.4889828145966196,0.0,0.06458986409167197,0.10241386212618725,-0.04694275802254989
curated,2.5,0.4888480781627635,0.0,0.06532148284840036,0.10238269777862163,-0.04694275802254989
curated,3.0,0.4919787314718543,0.0,0.0665399801717742,0.1019247135492964,-0.04694275802254989
