step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.4410663576230513,0.05794413796791719,0.05,0.04785616226619553,curated,0.09812108559498957,0.2740244929805683,0.25627725054405065,,0,0,,0.43
1,0.44107342715268444,0.0418307624911227,0.0,0.08411723656664341,curated,0.09812108559498957,0.22997302547556253,0.21839228223009532,,8,66,0.10810810810810811,0.41
2,0.4426142079754773,0.028267846688152007,0.0,0.05178996079439543,curated,0.09812108559498957,0.19430588712581184,0.1797545167735674,,8,73,0.09876543209876543,0.42
3,0.44425302015714235,0.016415092044355272,0.0,0.0745737773086397,curated,0.09812108559498957,0.14868420498659937,0.13617413375069093,,6,65,0.08450704225352113,0.38
4,0.446928178281718,0.007582684048943063,0.0,0.05070572312451634,curated,0.09812108559498957,0.10287723676510313,0.09201115650642694,,7,70,0.09090909090909091,0.32
5,0.44834694323739954,0.0032697044860293266,0.0,-0.025695931477514346,curated,0.09812108559498957,0.0667951070988743,0.060391730175263406,,13,67,0.1625,0.19
6,0.44980717084532,0.0012179094669971607,0.0,,curated,0.09812108559498957,0.04308258114147062,0.03667176274653367,,10,66,0.13157894736842105,0.06
7,0.4506272408359772,0.00042833106186909964,0.0,,curated,0.09812108559498957,0.025995823607733153,0.021667051856811927,,7,66,0.0958904109589041,0.0
8,0.4508759329925675,0.00014754497158949267,0.0,,curated,0.09812108559498957,0.01577083552726945,0.012459431293748532,,11,66,0.14285714285714285,0.0
9,0.45117332176173536,5.1981335367339594e-05,0.0,,curated,0.09812108559498957,0.009338386952740014,0.007455377820263818,,4,68,0.05555555555555555,0.0
10,0.4513321460227844,1.7625451703574655e-05,0.0,,curated,0.09812108559498957,0.005500504761602651,0.00441384079277493,,9,62,0.1267605633802817,0.0
11,0.4514175531445426,6.067579983573883e-06,0.0,,curated,0.09812108559498957,0.003090258932517509,0.002580777322241817,,10,66,0.13157894736842105,0.0
12,0.45132932477052307,2.132596351648086e-06,0.0,,curated,0.09812108559498957,0.0018083711591079527,0.0015178804191226937,,7,76,0.08433734939759036,0.0
13,0.45135908601836855,7.266482561058109e-07,0.0,,curated,0.09812108559498957,0.0010685339036096769,0.0008952598617528902,,7,73,0.0875,0.0
14,0.45134218790836383,2.508499372341653e-07,0.0,,curated,0.09812108559498957,0.0006300993854959588,0.000526917579621665,,5,91,0.052083333333333336,0.0
15,0.45134166550757343,8.363276286181111e-08,0.0,,curated,0.09812108559498957,0.00036647374949577466,0.00031199194604033316,,8,66,0.10810810810810811,0.0
16,0.4513351255306213,2.83416817712608e-08,0.0,,curated,0.09812108559498957,0.00021748205847141737,0.00018094950211901555,,6,74,0.075,0.0
17,0.4513401733877487,9.727785960340682e-09,0.0,,curated,0.09812108559498957,0.0001231412419314504,0.00010654783402966996,,7,59,0.10606060606060606,0.0
18,0.45133926868581126,3.336472333551127e-09,0.0,,curated,0.09812108559498957,7.56857055031231e-05,6.30057238507368e-05,,6,85,0.06593406593406594,0.0
