regime,loss_aversion,final_polarization,final_extremes,final_mean_belief,belief_drift,final_assortativity
mixed,1.0,2.1584172016596258e-05,0.0,0.390273584739851,0.21964151056944867,
mixed,1.5,2.4209251125898117e-05,0.0,0.3889667937976066,0.219638529147406,
mixed,2.0,2.6056602205028055e-05,0.0,0.38968237068907535,0.21953489703028034,
mixed,2.5,2.65645900615292e-05,0.0,0.3908613314066011,0.21941241037768466,
mixed,3.0,2.7083982787367294e-05,0.0,0.3903693706261409,0.21941093613730214,
echo,1.0,0.006904125871984751,0.0,0.3912834051764071,0.20249621180743677,-0.00892857142857482
echo,1.5,0.006953671815736537,0.0,0.39314606612156083,0.20228131105925867,-0.00892857142857482
echo,2.0,0.00695950411674232,0.0,0.3934647278856559,0.2022122014247078,-0.00892857142857482
echo,2.5,0.0069668427977329014,0.0,0.39365648900682637,0.2021380282877429,-0.00892857142857482
echo,3.0,0.006976470312205779,0.0,0.3939459428195289,0.20207373325044872,-0.00892857142857482
curated,1.0,5.848377571242731e-07,0.0,0.40064993537952553,0.21942016405575282,
curated,1.5,6.427998753465986e-07,0.0,0.39557143840223474,0.21940242397513296,
curated,2.0,7.500748416005055e-07,0.0,0.3974959779839699,0.2192221966436946,
curated,2.5,8.337701541821897e-07,0.0,0.39129225890953895,0.2193815993707692,
curated,3.0,8.674692846641676e-07,0.0,0.3960836039843085,0.2191684326724898,
