step,mean_belief,polarization_var,share_extremes,assortativity,regime
0,0.09697059601237486,0.40166887989317596,0.13,-0.045812333085681056,curated
1,0.09532122195247851,0.3927977497967205,0.05,-0.05505851769157794,curated
2,0.09453090815849388,0.3846913720821131,0.0,-0.07327660864293749,curated
3,0.09328297124647605,0.37857620397419117,0.0,-0.0631113060237627,curated
4,0.09257159228763773,0.3779179856311201,0.0,-0.06536440089227874,curated
5,0.09232504459294338,0.37670421462630616,0.0,-0.07612452580237249,curated
6,0.0921273835427277,0.3768621220000775,0.0,-0.07612452580237249,curated
7,0.0922588651769103,0.3768398511547236,0.0,-0.07612452580237249,curated
8,0.09226703809752282,0.37678395856375024,0.0,-0.07612452580237249,curated
9,0.09225913709399297,0.37681102279866246,0.0,-0.07612452580237249,curated
10,0.09228934388927336,0.37681899867634155,0.0,-0.07612452580237249,curated
11,0.09224614493399849,0.37680907506098293,0.0,-0.07612452580237249,curated
12,0.09224828028471534,0.37678874101107257,0.0,-0.07612452580237249,curated
13,0.09225835777345585,0.37678785191007086,0.0,-0.07612452580237249,curated
14,0.09226259646853284,0.376787150154883,0.0,-0.07612452580237249,curated
15,0.09226218343719429,0.3767865139566682,0.0,-0.07612452580237249,curated
16,0.0922617378788337,0.3767852866686345,0.0,-0.07612452580237249,curated
17,0.09226112781024445,0.37678683920608286,0.0,-0.07612452580237249,curated
18,0.0922607459884048,0.3767870235615357,0.0,-0.07612452580237249,curated
19,0.09226062701339853,0.37678652243187166,0.0,-0.07612452580237249,curated
20,0.09226020661430175,0.37678648573407814,0.0,-0.07612452580237249,curated
21,0.09226013010125785,0.37678647190713377,0.0,-0.07612452580237249,curated
22,0.09226015523435266,0.37678643693658076,0.0,-0.07612452580237249,curated
23,0.09226012746229373,0.3767864669288595,0.0,-0.07612452580237249,curated
24,0.09226012153856972,0.37678642427444586,0.0,-0.07612452580237249,curated
25,0.09226012011410667,0.37678643341937135,0.0,-0.07612452580237249,curated
26,0.09226011245574811,0.37678643590948085,0.0,-0.07612452580237249,curated
27,0.09226010755258432,0.3767864410579934,0.0,-0.07612452580237249,curated
28,0.09226009953396024,0.37678644544335066,0.0,-0.07612452580237249,curated
29,0.09226009918313206,0.37678644578722453,0.0,-0.07612452580237249,curated
30,0.09226009856106647,0.37678644710824627,0.0,-0.07612452580237249,curated
31,0.09226009848542302,0.3767864470182639,0.0,-0.07612452580237249,curated
32,0.09226009829275851,0.37678644718549015,0.0,-0.07612452580237249,curated
33,0.09226009835915247,0.37678644714467757,0.0,-0.07612452580237249,curated
