regime,final_polarization,final_extremes,belief_drift,reference_crossing_rate
mixed,0.38388851352165326,0.0,0.2425439728081603,0.0
echo,0.45510123634364597,0.03,0.07160119832508262,0.0
curated,0.4624203441617529,0.0,0.11118551503620268,0.0
