step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.27054861986768686,0.39375834197517956,0.34,-0.06851529304444544,curated,0.049800796812749,0.695956927734552,0.7452249617933213,,0,0,,0.44
1,0.27254681462517516,0.3839062942403138,0.39,-0.07159485330576784,curated,0.049800796812749,0.6749616103419686,0.7265856215799221,,5,55,0.08333333333333333,0.44
2,0.27379299388886874,0.37601302387756713,0.34,-0.06350314026517802,curated,0.049800796812749,0.6545511257993666,0.7104279988793115,,1,50,0.0196078431372549,0.44
3,0.2750696489898384,0.3707545408542659,0.33,-0.07198952511808124,curated,0.049800796812749,0.6282341257240514,0.6962420879432242,,3,57,0.05,0.45
4,0.27616851807832243,0.3658960130183831,0.2,-0.07224366575006094,curated,0.049800796812749,0.612573970126454,0.6852072593925306,,5,54,0.0847457627118644,0.47
5,0.27275284217637635,0.35882296462550733,0.13,-0.08165384839076864,curated,0.049800796812749,0.5936229760566117,0.6713759025127132,,1,56,0.017543859649122806,0.47
6,0.2734588961798,0.3536261146783488,0.11,-0.09184489500001392,curated,0.049800796812749,0.5610511930728691,0.6600782637949965,,2,46,0.041666666666666664,0.47
7,0.27136505532955774,0.3475032858736482,0.13,-0.06449138151486508,curated,0.049800796812749,0.5348723176661968,0.6477492327878436,,4,55,0.06779661016949153,0.48
8,0.27416937130452124,0.34192819027124477,0.16,-0.0857709622699226,curated,0.049800796812749,0.5153558270772066,0.6287747579304903,,6,67,0.0821917808219178,0.49
9,0.2752831275954938,0.33561604636348974,0.16,-0.0681435667273299,curated,0.049800796812749,0.4728807361909954,0.6033021343687789,,3,75,0.038461538461538464,0.52
10,0.27504164047535623,0.3304047833583849,0.18,-0.10018144380338881,curated,0.049800796812749,0.44580037099151437,0.5757318557779336,,8,57,0.12307692307692308,0.63
11,0.2753080336964982,0.3281704830436247,0.2,-0.11647935644150001,curated,0.049800796812749,0.4248329426100417,0.5569742406943867,,5,63,0.07352941176470588,0.76
12,0.2753100056506901,0.32720068708545275,0.22,-0.11647935644150001,curated,0.049800796812749,0.4087891647504657,0.5447463138439212,,6,68,0.08108108108108109,0.78
13,0.2753784214391323,0.32681465716966285,0.22,-0.11647935644150001,curated,0.049800796812749,0.3989938580209709,0.5356777855852599,,3,72,0.04,0.78
14,0.27564475908904246,0.3268352426471609,0.22,-0.11647935644150001,curated,0.049800796812749,0.39381356157480163,0.530618283499148,,4,56,0.06666666666666667,0.78
15,0.27569490225349724,0.3268194578766015,0.22,-0.11647935644150001,curated,0.049800796812749,0.3905864673654785,0.5275593686573928,,3,66,0.043478260869565216,0.78
16,0.275585423734443,0.3267385163983748,0.22,-0.11647935644150001,curated,0.049800796812749,0.38872183531657956,0.5258922497169038,,8,63,0.11267605633802817,0.78
17,0.27566862024628164,0.3267845133101417,0.22,-0.11647935644150001,curated,0.049800796812749,0.38777446804333615,0.5249916990333927,,4,76,0.05,0.78
18,0.2756737944928387,0.3267860934726104,0.22,-0.11647935644150001,curated,0.049800796812749,0.38713091127708354,0.5244301239139019,,3,71,0.04054054054054054,0.78
