regime,final_polarization,final_extremes,belief_drift,reference_crossing_rate
mixed,4.174138538790779e-05,0.0,0.20203881270664312,0.0
echo,0.013395742808604817,0.0,0.16658366720084053,0.0
curated,8.004421772273548e-07,0.0,0.20119823208616008,0.0
