regime,final_polarization,final_extremes,belief_drift,reference_crossing_rate
mixed,0.3582933978391245,0.01,0.09861495705035665,0.0
echo,0.37119591376182626,0.04,0.06326226199678013,0.0
curated,0.36832952265115987,0.0,0.0890142497538491,0.0
