loss_aversion,stubbornness,final_polarization,final_extremes,belief_drift
1.0,0.05,0.3511084565738036,0.01,0.10061441669173381
1.0,0.15,0.350444031572995,0.01,0.10090553731245831
1.0,0.3,0.3551772611724775,0.01,0.0996302163560279
2.0,0.05,0.35780924152125204,0.01,0.09878228797118047
2.0,0.15,0.3582933978391245,0.01,0.09861495705035665
2.0,0.3,0.35917429084120306,0.01,0.09829734237561955
3.0,0.05,0.35995804931985476,0.01,0.08628567874473764
3.0,0.15,0.36053099558060403,0.01,0.0861875375558014
3.0,0.3,0.30105972598216224,0.01,0.20848356656340294
