step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.27054861986768686,0.39375834197517956,0.34,-0.06851529304444544,curated,0.199203187250996,0.7227902901763291,0.7477417934108089,,0,0,,0.44
1,0.27307566729439076,0.38400681629307337,0.4,-0.07159485330576784,curated,0.199203187250996,0.7022328464789716,0.7291230783194433,,11,48,0.1864406779661017,0.44
2,0.2723076962628972,0.3749067717521632,0.35,-0.06194933391210219,curated,0.199203187250996,0.6850925598258485,0.7119488161803091,,7,53,0.11666666666666667,0.44
3,0.2722251563718052,0.3688767992033626,0.29,-0.06887927538191155,curated,0.199203187250996,0.6737955606510796,0.6977734103720964,,6,54,0.1,0.45
4,0.2764634194485243,0.3669942758450649,0.23,-0.06604135674323357,curated,0.199203187250996,0.6661870443865014,0.6888305700422624,,12,51,0.19047619047619047,0.45
5,0.2753447982911789,0.36082875078744514,0.14,-0.07113958566567281,curated,0.199203187250996,0.6561291631540545,0.6741141561194366,,3,50,0.05660377358490566,0.45
6,0.276250589669891,0.355359318177022,0.13,-0.06541840362319043,curated,0.199203187250996,0.6406634830632558,0.6617596477965687,,13,41,0.24074074074074073,0.47
7,0.27734398210678124,0.34948847740039346,0.15,-0.06292374102465326,curated,0.199203187250996,0.6169605356552502,0.6447740878918837,,11,45,0.19642857142857142,0.49
8,0.279751244306498,0.34371721648552295,0.16,-0.08602934813514482,curated,0.199203187250996,0.5923772410460085,0.6257864480892922,,17,50,0.2537313432835821,0.52
9,0.2791758206396873,0.3365663915001057,0.18,-0.043014278269212766,curated,0.199203187250996,0.5604927700193971,0.5997499625725486,,13,53,0.19696969696969696,0.55
10,0.2795013991013159,0.3324968068931786,0.19,-0.08322735327843259,curated,0.199203187250996,0.529451348390127,0.5760295387912651,,14,49,0.2222222222222222,0.65
11,0.2802235847555429,0.3308798297886416,0.22,-0.11647935644150001,curated,0.199203187250996,0.5078327550657411,0.559079071316328,,14,57,0.19718309859154928,0.78
12,0.28059980820374775,0.330319775089932,0.22,-0.11647935644150001,curated,0.199203187250996,0.4930945514289787,0.5482733244417479,,14,64,0.1794871794871795,0.78
13,0.28135708722446096,0.3304728327832956,0.22,-0.11647935644150001,curated,0.199203187250996,0.48531058467219673,0.541508200143111,,9,50,0.15254237288135594,0.78
14,0.28155049514849045,0.33047925427494,0.22,-0.11647935644150001,curated,0.199203187250996,0.48001473362912855,0.5375325616042574,,10,55,0.15384615384615385,0.78
15,0.28157368654174464,0.3304584124768025,0.22,-0.11647935644150001,curated,0.199203187250996,0.4767613577162912,0.5350989413214569,,17,52,0.2463768115942029,0.78
16,0.28144861134035687,0.3303678985901851,0.22,-0.11647935644150001,curated,0.199203187250996,0.4745750886576612,0.5336119417564011,,17,58,0.22666666666666666,0.78
17,0.28148958885713876,0.33038837001803356,0.22,-0.11647935644150001,curated,0.199203187250996,0.473399052159256,0.5327402563253055,,17,62,0.21518987341772153,0.78
18,0.2815004486391876,0.33039379898656,0.22,-0.11647935644150001,curated,0.199203187250996,0.4726689005268226,0.5322250939539233,,13,62,0.17333333333333334,0.78
19,0.28148882085314314,0.3303862351589118,0.22,-0.11647935644150001,curated,0.199203187250996,0.47231225898616735,0.5319545283521085,,10,61,0.14084507042253522,0.78
20,0.28149344290811806,0.3303887962060943,0.22,-0.11647935644150001,curated,0.199203187250996,0.4721043578286141,0.5317846318811562,,10,54,0.15625,0.78
21,0.281490685598772,0.3303870544551979,0.22,-0.11647935644150001,curated,0.199203187250996,0.4719668982446396,0.5316896968976746,,8,59,0.11940298507462686,0.78
22,0.2814896199367821,0.3303863835718866,0.22,-0.11647935644150001,curated,0.199203187250996,0.47188254250222045,0.5316312928866672,,14,58,0.19444444444444445,0.78
23,0.28149172780296405,0.3303876598468364,0.22,-0.11647935644150001,curated,0.199203187250996,0.4718378679720691,0.5316017675347807,,19,65,0.2261904761904762,0.78
24,0.28148974855488756,0.3303864351196362,0.22,-0.11647935644150001,curated,0.199203187250996,0.4718108152856518,0.5315811770282387,,9,59,0.1323529411764706,0.78
25,0.2814901365179543,0.33038666768954855,0.22,-0.11647935644150001,curated,0.199203187250996,0.47179318033148043,0.5315703093192521,,11,52,0.1746031746031746,0.78
26,0.2814893426076054,0.3303861833314339,0.22,-0.11647935644150001,curated,0.199203187250996,0.47178391518987434,0.5315632365279069,,18,63,0.2222222222222222,0.78
27,0.2814891262113103,0.33038605025194684,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177847544673357,0.5315592311343394,,13,52,0.2,0.78
28,0.28148907794780226,0.33038602020229396,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177523912019387,0.5315566765443323,,19,50,0.2753623188405797,0.78
29,0.28148909705721764,0.3303860315223139,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717733148901575,0.5315552453996774,,17,55,0.2361111111111111,0.78
30,0.2814890785474523,0.33038602030912334,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177230661231173,0.531554455356334,,17,59,0.2236842105263158,0.78
31,0.28148911591475234,0.3303860432227907,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177171993341255,0.5315540272716811,,17,50,0.2537313432835821,0.78
32,0.28148911595096154,0.3303860432538093,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177137097963234,0.531553742593459,,15,63,0.19230769230769232,0.78
33,0.2814891084180603,0.3303860386415889,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717711729113459,0.5315535886725111,,20,58,0.2564102564102564,0.78
34,0.28148910679820965,0.3303860376804843,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717710516409958,0.5315534934931457,,11,57,0.16176470588235295,0.78
35,0.28148911044680147,0.33038603993894516,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177098440375276,0.5315534454025463,,13,53,0.19696969696969696,0.78
36,0.28148911148975936,0.3303860405612537,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177093568771555,0.5315534126261415,,14,55,0.2028985507246377,0.78
37,0.28148911042796404,0.33038603990934,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717709060471718,0.5315533907715461,,15,57,0.20833333333333334,0.78
38,0.2814891098465224,0.33038603955283,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708902848963,0.531553378932283,,15,57,0.20833333333333334,0.78
39,0.28148910897197343,0.33038603901713803,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708801605804,0.5315533715973321,,11,59,0.15714285714285714,0.78
40,0.2814891089783307,0.33038603902107616,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708745099422,0.5315533675631181,,14,66,0.175,0.78
41,0.28148910891591317,0.3303860389828914,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708715378847,0.5315533653562721,,10,62,0.1388888888888889,0.78
42,0.28148910880372197,0.3303860389140924,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708697067492,0.5315533640862822,,10,50,0.16666666666666666,0.78
43,0.28148910877600875,0.33038603889706425,0.22,-0.11647935644150001,curated,0.199203187250996,0.471770868572057,0.531553363296334,,13,53,0.19696969696969696,0.78
44,0.2814891087542547,0.33038603888359364,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086800765744,0.5315533628443747,,13,63,0.17105263157894737,0.78
45,0.2814891087500538,0.33038603888103646,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086766957066,0.5315533625794646,,11,68,0.13924050632911392,0.78
46,0.2814891087533659,0.33038603888303814,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708674870807,0.53155336243513,,14,58,0.19444444444444445,0.78
47,0.28148910875368705,0.33038603888329426,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086736809914,0.5315533623536888,,15,64,0.189873417721519,0.78
48,0.2814891087537545,0.33038603888334256,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708672991984,0.531553362301046,,19,62,0.2345679012345679,0.78
49,0.28148910875592137,0.3303860388846658,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708672599292,0.5315533622688854,,16,51,0.23880597014925373,0.78
50,0.2814891087561554,0.3303860388848149,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086723196054,0.5315533622498684,,18,52,0.2571428571428571,0.78
51,0.2814891087553129,0.3303860388842995,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086721771133,0.5315533622383677,,16,50,0.24242424242424243,0.78
52,0.2814891087558618,0.33038603888463414,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708672100755,0.5315533622321118,,14,60,0.1891891891891892,0.78
53,0.28148910875569333,0.3303860388845312,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708672052776,0.5315533622277552,,9,58,0.13432835820895522,0.78
54,0.28148910875586725,0.3303860388846382,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708672026399,0.5315533622255211,,17,48,0.26153846153846155,0.78
55,0.28148910875587063,0.33038603888464046,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708672007398,0.5315533622239861,,12,51,0.19047619047619047,0.78
56,0.28148910875584765,0.3303860388846265,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719973493,0.5315533622231461,,20,63,0.24096385542168675,0.78
57,0.2814891087558712,0.3303860388846409,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671990279,0.531553362222619,,11,68,0.13924050632911392,0.78
58,0.28148910875586375,0.33038603888463636,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719859035,0.5315533622223282,,17,62,0.21518987341772153,0.78
59,0.28148910875587657,0.3303860388846441,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671983567,0.531553362222156,,14,50,0.21875,0.78
60,0.28148910875587135,0.330386038884641,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671982048,0.5315533622220423,,16,58,0.21621621621621623,0.78
61,0.28148910875586486,0.33038603888463697,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671981067,0.5315533622219796,,15,61,0.19736842105263158,0.78
62,0.28148910875586797,0.3303860388846388,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719805233,0.5315533622219455,,14,66,0.175,0.78
63,0.28148910875586775,0.33038603888463874,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719802247,0.5315533622219274,,13,61,0.17567567567567569,0.78
64,0.28148910875586686,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719800665,0.5315533622219171,,13,65,0.16666666666666666,0.78
65,0.2814891087558666,0.330386038884638,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719799655,0.5315533622219103,,16,51,0.23880597014925373,0.78
66,0.2814891087558665,0.330386038884638,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719799133,0.5315533622219064,,16,60,0.21052631578947367,0.78
67,0.28148910875586686,0.33038603888463813,0.22,-0.11647935644150001,curated,0.199203187250996,0.471770867197988,0.5315533622219043,,11,60,0.15492957746478872,0.78
68,0.28148910875586697,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979862,0.5315533622219032,,11,45,0.19642857142857142,0.78
69,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979854,0.5315533622219025,,11,54,0.16923076923076924,0.78
70,0.2814891087558669,0.33038603888463813,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979847,0.5315533622219023,,7,44,0.13725490196078433,0.78
71,0.2814891087558669,0.3303860388846382,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979844,0.531553362221902,,15,43,0.25862068965517243,0.78
72,0.28148910875586697,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979841,0.5315533622219017,,14,54,0.20588235294117646,0.78
73,0.28148910875586697,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719798395,0.5315533622219017,,15,71,0.1744186046511628,0.78
74,0.2814891087558669,0.3303860388846382,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719798395,0.5315533622219017,,14,62,0.18421052631578946,0.78
75,0.28148910875586697,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,16,52,0.23529411764705882,0.78
76,0.28148910875586697,0.3303860388846383,0.22,-0.11647935644150001,curated,0.199203187250996,0.47177086719798395,0.5315533622219016,,8,59,0.11940298507462686,0.78
77,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,22,51,0.3013698630136986,0.78
78,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,16,61,0.2077922077922078,0.78
79,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,13,54,0.19402985074626866,0.78
80,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,14,66,0.175,0.78
81,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,8,64,0.1111111111111111,0.78
82,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,13,55,0.19117647058823528,0.78
83,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,18,61,0.22784810126582278,0.78
84,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,16,56,0.2222222222222222,0.78
85,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,17,63,0.2125,0.78
86,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,13,50,0.20634920634920634,0.78
87,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,14,61,0.18666666666666668,0.78
88,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,12,61,0.1643835616438356,0.78
89,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,11,56,0.16417910447761194,0.78
90,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,15,63,0.19230769230769232,0.78
91,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,17,61,0.21794871794871795,0.78
92,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,14,54,0.20588235294117646,0.78
93,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,12,53,0.18461538461538463,0.78
94,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,17,54,0.23943661971830985,0.78
95,0.281489108755867,0.33038603888463824,0.22,-0.11647935644150001,curated,0.199203187250996,0.4717708671979839,0.5315533622219016,,18,62,0.225,0.78
