step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.27054861986768686,0.39375834197517956,0.34,0.002980380684207598,echo,0.19791666666666666,0.7917468937848293,0.6263144641613572,0.23292199417243245,0,0,,0.44
1,0.2732812294463508,0.3856620931057483,0.36,0.07557944239166947,echo,0.19791666666666666,0.7748057680695207,0.5893449797274113,0.23563710168026314,22,139,0.13664596273291926,0.46
2,0.27463487891388355,0.3841679334002073,0.4,0.12473806110069484,echo,0.19791666666666666,0.7640200697006448,0.5728120096029994,0.23619934522764854,22,150,0.12790697674418605,0.47
3,0.27655866999984896,0.38178871243584633,0.38,0.16634226680640818,echo,0.19791666666666666,0.754698950317877,0.5647326918065172,0.2283863771860803,24,156,0.13333333333333333,0.47
4,0.279284582864721,0.3794660258569032,0.37,0.20103469605803295,echo,0.19791666666666666,0.7395330908663273,0.5597184079498815,0.23163161712770322,24,161,0.12972972972972974,0.48
5,0.2802721368998602,0.37655363279001614,0.35,0.21762752792031387,echo,0.19791666666666666,0.7275627166922137,0.554434548426176,0.23380568687964956,24,165,0.12698412698412698,0.49
6,0.2815179037782145,0.3740599130380571,0.35,0.21762752792031387,echo,0.19791666666666666,0.7199405527086336,0.5491002670105897,0.23454277339619495,24,168,0.125,0.51
7,0.2827217534106679,0.37189184120120927,0.33,0.22099196117093892,echo,0.19791666666666666,0.7115799071958775,0.5440053699475548,0.23660826401340007,26,171,0.1319796954314721,0.53
8,0.283539871375378,0.3702058344454223,0.31,0.22394661582459482,echo,0.19791666666666666,0.7036986236433599,0.5388985328120377,0.2397852399123795,26,172,0.13131313131313133,0.56
9,0.28279935901886816,0.36775794515552257,0.28,0.23029932803909586,echo,0.19791666666666666,0.6894758955532307,0.5340619134257834,0.2391205483901947,26,174,0.13,0.57
10,0.28400461928936227,0.3665693832456665,0.25,0.23640535372848956,echo,0.19791666666666666,0.6768005988744183,0.5290544649336972,0.24047440311733384,27,177,0.1323529411764706,0.62
11,0.2853222831982485,0.36537616038559634,0.23,0.258028364957298,echo,0.19791666666666666,0.66777507655106,0.5191426156451471,0.23929893114303535,30,182,0.14150943396226415,0.63
12,0.2851529318959689,0.3633259684943133,0.21,0.258028364957298,echo,0.19791666666666666,0.6585763136331786,0.5110174886460966,0.2411951401638913,32,187,0.1461187214611872,0.65
13,0.2849785119781451,0.36188190564170464,0.17,0.282367447595561,echo,0.19791666666666666,0.651299748363512,0.505872529234736,0.2459007704119973,32,192,0.14285714285714285,0.65
14,0.2848961328305166,0.3609176472732365,0.17,0.28538750823866943,echo,0.19791666666666666,0.646120297970773,0.502562851658943,0.24958880260352692,32,192,0.14285714285714285,0.65
15,0.28462702673049717,0.3600057265592013,0.15,0.28538750823866943,echo,0.19791666666666666,0.6421781960969675,0.49997377251842784,0.2533098218237113,32,192,0.14285714285714285,0.65
16,0.28422638260768446,0.35914637298346724,0.15,0.28538750823866943,echo,0.19791666666666666,0.6392887663196243,0.4976376078391179,0.25669296843275846,32,192,0.14285714285714285,0.65
17,0.2838973067597855,0.35844697627809324,0.14,0.26927453211441127,echo,0.19791666666666666,0.6369582655170548,0.4956678244428269,0.25965988083716607,32,192,0.14285714285714285,0.65
18,0.2836054263491791,0.35787211404734764,0.13,0.2809555722001025,echo,0.19791666666666666,0.6351993625173581,0.49375964526395966,0.26239271660665936,32,192,0.14285714285714285,0.65
19,0.2833658911729146,0.3573973055514197,0.13,0.28095617529880473,echo,0.19791666666666666,0.6332708022065875,0.4923128705541047,0.2648228396724793,32,192,0.14285714285714285,0.65
20,0.2831581679373538,0.3569987872016266,0.13,0.28095617529880473,echo,0.19791666666666666,0.6318909356818339,0.49094479970957927,0.26691960670239334,32,192,0.14285714285714285,0.65
21,0.2829318957065921,0.35662226348120074,0.13,0.28095617529880473,echo,0.19791666666666666,0.630481557230565,0.48965988215438105,0.26895538314996686,32,192,0.14285714285714285,0.65
