regime,loss_aversion,final_polarization,final_extremes,final_mean_belief,belief_drift,final_assortativity
mixed,1.0,1.6873885149984748e-05,0.0,0.4033673838963846,0.19089159529307537,
mixed,1.5,1.8021966354998455e-05,0.0,0.3992614362903159,0.19108469552913315,
mixed,2.0,1.792450370131124e-05,0.0,0.4001519717449614,0.19089613436610836,
mixed,2.5,1.861528519015949e-05,0.0,0.40003685907675857,0.1909116209947098,
mixed,3.0,1.918702595591831e-05,0.0,0.4003865248794282,0.1907888011953889,
echo,1.0,2.4538182686810027e-05,0.0,0.4318356934691103,0.1920021850612895,
echo,1.5,2.5681034553382627e-05,0.0,0.4289246646890662,0.19166611183162233,
echo,2.0,2.5798197584411383e-05,0.0,0.4301984876400214,0.1916281342977836,
echo,2.5,2.5367164657286015e-05,0.0,0.4296496052761913,0.19160958908948622,
echo,3.0,2.5374256152501277e-05,0.0,0.4312672647789978,0.1917180781931188,
curated,1.0,5.607020570499206e-07,0.0,0.41110491837983487,0.191317672709023,
curated,1.5,6.704418771882584e-07,0.0,0.4139253480158897,0.19103687213825146,
curated,2.0,7.446970021913276e-07,0.0,0.41040635205794535,0.19092761806736885,
curated,2.5,8.313553722829814e-07,0.0,0.4107708782462211,0.19087733029807155,
curated,3.0,8.483916440824357e-07,0.0,0.4138220935437625,0.19084086413494902,
