step,mean_belief,polarization_var,share_extremes,assortativity,regime
0,0.15948362934708185,0.47540176903997533,0.15,-0.008202467750981475,curated
1,0.15972082802589876,0.4647981590004246,0.07,-0.02909762035655393,curated
2,0.16093719094412356,0.4593177690109026,0.0,-0.02909762035655393,curated
3,0.16216848742763312,0.45582958635716686,0.0,-0.035799146406008966,curated
4,0.16381139869073494,0.4569154951446775,0.0,-0.04060627203394401,curated
5,0.1659399532472098,0.45660290488077104,0.0,-0.049387836791284355,curated
6,0.16647929399591757,0.45618648729139666,0.0,-0.049387836791284355,curated
7,0.16709741477592707,0.45620773671306303,0.0,-0.049387836791284355,curated
8,0.16680351843526417,0.45493458039180285,0.0,-0.049387836791284355,curated
9,0.16820243552717062,0.45501749248948214,0.0,-0.049387836791284355,curated
10,0.16825566664904656,0.45453797267103413,0.0,-0.049387836791284355,curated
11,0.16822620043728967,0.4538950943337787,0.0,-0.049387836791284355,curated
12,0.167168554741641,0.4528271403020948,0.0,-0.049387836791284355,curated
13,0.16719906180358596,0.4524140982315963,0.0,-0.049387836791284355,curated
14,0.16685840071897595,0.45148347205324696,0.0,-0.049387836791284355,curated
15,0.1668309907348046,0.4508791332907856,0.0,-0.049387836791284355,curated
16,0.16723948024233795,0.45119517334208475,0.0,-0.049387836791284355,curated
17,0.16641762366853544,0.450422644094313,0.0,-0.049387836791284355,curated
18,0.16597280403308848,0.4498675335646367,0.0,-0.049387836791284355,curated
19,0.16623433574880886,0.4495426581340749,0.0,-0.049387836791284355,curated
20,0.1658897002659874,0.4490643891839381,0.0,-0.049387836791284355,curated
21,0.1656981963517838,0.4488487856455668,0.0,-0.05239077332631253,curated
22,0.16586421049291467,0.4489643805642396,0.0,-0.05239077332631253,curated
23,0.16597560622631527,0.4491050036824396,0.0,-0.05239077332631253,curated
24,0.16601543182093703,0.44913916537655235,0.0,-0.05239077332631253,curated
25,0.1660428808840026,0.4491750740397209,0.0,-0.05239077332631253,curated
26,0.16607031738095082,0.44920436924047347,0.0,-0.05239077332631253,curated
27,0.16607710527578676,0.44921157408576234,0.0,-0.05239077332631253,curated
28,0.16607246122754524,0.449205227581079,0.0,-0.05239077332631253,curated
29,0.166066562752832,0.44919863126698767,0.0,-0.05239077332631253,curated
30,0.16606676603101744,0.4491987018557985,0.0,-0.05239077332631253,curated
31,0.16606657896847865,0.44919868094500137,0.0,-0.05239077332631253,curated
32,0.16606636735861827,0.44919851978042274,0.0,-0.05239077332631253,curated
33,0.16606640885283086,0.44919847674754204,0.0,-0.05239077332631253,curated
34,0.16606636238274636,0.44919842672526494,0.0,-0.05239077332631253,curated
35,0.16606612357407322,0.4491981581549752,0.0,-0.05239077332631253,curated
36,0.16606609791841037,0.4491981466157111,0.0,-0.05239077332631253,curated
37,0.16606608528340197,0.4491981276085315,0.0,-0.05239077332631253,curated
38,0.16606608499201148,0.44919812913191803,0.0,-0.05239077332631253,curated
39,0.16606607035527593,0.4491981124179966,0.0,-0.05239077332631253,curated
40,0.1660660686759807,0.4491981115471333,0.0,-0.05239077332631253,curated
41,0.1660660692814369,0.4491981124856283,0.0,-0.05239077332631253,curated
42,0.16606606873990815,0.44919811176509816,0.0,-0.05239077332631253,curated
43,0.16606606806934202,0.44919811108105223,0.0,-0.05239077332631253,curated
44,0.16606606950645517,0.4491981127999358,0.0,-0.05239077332631253,curated
45,0.16606606960305417,0.44919811299583434,0.0,-0.05239077332631253,curated
46,0.16606606915318206,0.44919811253667796,0.0,-0.05239077332631253,curated
47,0.16606606930785642,0.4491981127276132,0.0,-0.05239077332631253,curated
48,0.1660660691536179,0.44919811254130687,0.0,-0.05239077332631253,curated
49,0.1660660691286224,0.4491981125216351,0.0,-0.05239077332631253,curated
50,0.16606606911969057,0.4491981125146653,0.0,-0.05239077332631253,curated
51,0.1660660691066636,0.4491981124986227,0.0,-0.05239077332631253,curated
52,0.16606606910130325,0.44919811249464714,0.0,-0.05239077332631253,curated
53,0.16606606910146154,0.4491981124953062,0.0,-0.05239077332631253,curated
54,0.16606606910316896,0.44919811249754704,0.0,-0.05239077332631253,curated
55,0.16606606910526195,0.44919811249961666,0.0,-0.05239077332631253,curated
56,0.16606606910647803,0.4491981125008818,0.0,-0.05239077332631253,curated
57,0.1660660691072768,0.4491981125019693,0.0,-0.05239077332631253,curated
58,0.1660660691063564,0.44919811250079617,0.0,-0.05239077332631253,curated
