regime,loss_aversion,final_polarization,final_extremes,final_mean_belief,belief_drift,final_assortativity
mixed,1.0,0.40304022908471693,0.0,0.1893359832871414,0.09493241023722561,-0.009591115598182662
mixed,1.5,0.40649553606956046,0.0,0.19049326302867484,0.09428661507486716,-0.009591115598182662
mixed,2.0,0.4083096908079565,0.0,0.19058003045412658,0.09396866554820141,-0.009591115598182662
mixed,2.5,0.4085382452400886,0.0,0.19058918402896974,0.09378228439285925,-0.009591115598182662
mixed,3.0,0.4093627738823328,0.0,0.19053157820678815,0.09361981907142763,-0.009591115598182662
echo,1.0,0.41796825805615545,0.04,0.20060592532745114,0.06386035700277688,0.07133612779848941
echo,1.5,0.4169150188117509,0.04,0.19941167962065967,0.06373796139264379,0.07133612779848941
echo,2.0,0.4165126631773831,0.04,0.19918689247601978,0.06371145708538639,0.07133612779848941
echo,2.5,0.41691228401098135,0.04,0.19901418445147004,0.06373733191031772,0.07133612779848941
echo,3.0,0.41761916761933193,0.04,0.19947977822907995,0.06360296789653512,0.07133612779848941
curated,1.0,0.4039769156085562,0.0,0.1898213246261686,0.0982288746985057,-0.03206009008056796
curated,1.5,0.4053865548745704,0.0,0.1908149856264276,0.09804582337729384,-0.03206009008056796
curated,2.0,0.4078430362023296,0.0,0.19135062981665618,0.09768202165899297,-0.03206009008056796
curated,2.5,0.40708279572790906,0.0,0.19286097897518154,0.0975379172135887,-0.03206009008056796
curated,3.0,0.4079128217860842,0.0,0.19233212559740687,0.09754062338394867,-0.03206009008056796
